epoch,train_loss,mse_loss,lr
1,0.17833180526892345,0.17833180526892345,0.01
2,0.06485306993126869,0.06485306993126869,0.01
3,0.052001745502154036,0.052001745502154036,0.01
4,0.043162452926238375,0.043162452926238375,0.01
5,0.03702886700630188,0.03702886700630188,0.01
6,0.030012943347295127,0.030012943347295127,0.01
7,0.023578207567334176,0.023578207567334176,0.01
8,0.01659850918998321,0.01659850918998321,0.01
9,0.010076526335130136,0.010076526335130136,0.01
10,0.0059426257386803625,0.0059426257386803625,0.01
11,0.0045266829431056975,0.0045266829431056975,0.01
12,0.0042601540995140874,0.0042601540995140874,0.01
13,0.004153958599393566,0.004153958599393566,0.01
14,0.003945446945726872,0.003945446945726872,0.01
15,0.0038564917631447315,0.0038564917631447315,0.01
16,0.0037741133632759253,0.0037741133632759253,0.01
17,0.0036776008860518535,0.0036776008860518535,0.01
18,0.003599362727254629,0.003599362727254629,0.01
19,0.003640791587531567,0.003640791587531567,0.01
20,0.0035325990368922553,0.0035325990368922553,0.01
21,0.003516238322481513,0.003516238322481513,0.01
22,0.003480613138526678,0.003480613138526678,0.01
23,0.003449138595412175,0.003449138595412175,0.01
24,0.003483754334350427,0.003483754334350427,0.01
25,0.003478670244415601,0.003478670244415601,0.01
26,0.0034090076417972646,0.0034090076417972646,0.01
27,0.003365606519704064,0.003365606519704064,0.01
28,0.003372886450961232,0.003372886450961232,0.01
29,0.0033298198288927478,0.0033298198288927478,0.01
30,0.0033283510555823645,0.0033283510555823645,0.01
31,0.0033224687445908784,0.0033224687445908784,0.01
32,0.0033991323473552865,0.0033991323473552865,0.01
33,0.003428041764224569,0.003428041764224569,0.01
34,0.0032016283366829157,0.0032016283366829157,0.01
35,0.0032610286648074786,0.0032610286648074786,0.01
36,0.0032790501601994036,0.0032790501601994036,0.01
37,0.0031839167699217797,0.0031839167699217797,0.01
38,0.003212885791435838,0.003212885791435838,0.01
39,0.003228858765214682,0.003228858765214682,0.01
40,0.00318481110346814,0.00318481110346814,0.01
41,0.0031058707429716986,0.0031058707429716986,0.01
42,0.0031131507828831674,0.0031131507828831674,0.01
43,0.0030674361468603214,0.0030674361468603214,0.01
44,0.003098032157868147,0.003098032157868147,0.01
45,0.00304705825013419,0.00304705825013419,0.01
46,0.003009125776588917,0.003009125776588917,0.01
47,0.0029624892864376306,0.0029624892864376306,0.01
48,0.0029539012350142,0.0029539012350142,0.01
49,0.002886205166578293,0.002886205166578293,0.01
50,0.0029377217249323922,0.0029377217249323922,0.01
51,0.002927060689156254,0.002927060689156254,0.01
52,0.002904262424757083,0.002904262424757083,0.01
53,0.0029178662536044914,0.0029178662536044914,0.01
54,0.0028779334233452877,0.0028779334233452877,0.01
55,0.002927296670774619,0.002927296670774619,0.01
56,0.0028469470795243978,0.0028469470795243978,0.01
57,0.0028211988043040036,0.0028211988043040036,0.01
58,0.0027710496292759975,0.0027710496292759975,0.01
59,0.0028074064447234075,0.0028074064447234075,0.01
60,0.0028049287851899863,0.0028049287851899863,0.01
61,0.002774704961727063,0.002774704961727063,0.01
62,0.002771278393144409,0.002771278393144409,0.01
63,0.002708601423849662,0.002708601423849662,0.01
64,0.002731402699525158,0.002731402699525158,0.01
65,0.0027636141671488683,0.0027636141671488683,0.01
66,0.0027394710729519525,0.0027394710729519525,0.01
67,0.0027026341607173285,0.0027026341607173285,0.01
68,0.0026995156270762286,0.0026995156270762286,0.01
69,0.0027327870794882376,0.0027327870794882376,0.01
70,0.002738460836311181,0.002738460836311181,0.01
71,0.0026404160850991803,0.0026404160850991803,0.01
72,0.002666367373118798,0.002666367373118798,0.01
73,0.0026210696746905644,0.0026210696746905644,0.01
74,0.002589119505137205,0.002589119505137205,0.01
75,0.0026127773181845743,0.0026127773181845743,0.01
76,0.002622434481357535,0.002622434481357535,0.01
77,0.00264594336040318,0.00264594336040318,0.01
78,0.002646056027151644,0.002646056027151644,0.01
79,0.0025907849272092183,0.0025907849272092183,0.01
80,0.0025713369871179265,0.0025713369871179265,0.01
81,0.0025372435338795185,0.0025372435338795185,0.01
82,0.0025760675081983207,0.0025760675081983207,0.01
83,0.002552067969615261,0.002552067969615261,0.01
84,0.002552379046877225,0.002552379046877225,0.01
85,0.0025752692793806395,0.0025752692793806395,0.01
86,0.002539312265192469,0.002539312265192469,0.01
87,0.002540627680718899,0.002540627680718899,0.01
88,0.0026125021589299044,0.0026125021589299044,0.01
89,0.002583919977769256,0.002583919977769256,0.01
90,0.0025245718968411285,0.0025245718968411285,0.01
91,0.0026273020387937627,0.0026273020387937627,0.01
92,0.002672509274755915,0.002672509274755915,0.01
93,0.0025680227127547065,0.0025680227127547065,0.01
94,0.002570679550990462,0.002570679550990462,0.01
95,0.002615966663385431,0.002615966663385431,0.01
96,0.002534269557024042,0.002534269557024042,0.01
97,0.002513259742408991,0.002513259742408991,0.01
98,0.002476270000139872,0.002476270000139872,0.01
99,0.0025109498761594295,0.0025109498761594295,0.01
100,0.0024984174873679877,0.0024984174873679877,0.01
101,0.002508789673447609,0.002508789673447609,0.01
102,0.0025040474875519672,0.0025040474875519672,0.01
103,0.0025285139835129183,0.0025285139835129183,0.01
104,0.0025135163062562547,0.0025135163062562547,0.01
105,0.002558847206334273,0.002558847206334273,0.01
106,0.0024927243124693633,0.0024927243124693633,0.01
107,0.0024820396987100444,0.0024820396987100444,0.01
108,0.0024884614006926617,0.0024884614006926617,0.01
109,0.0025101464552183947,0.0025101464552183947,0.01
110,0.002480904432013631,0.002480904432013631,0.01
111,0.002491158898919821,0.002491158898919821,0.01
112,0.0024855986858407656,0.0024855986858407656,0.01
113,0.002521286353779336,0.002521286353779336,0.01
114,0.0025133624207228423,0.0025133624207228423,0.01
115,0.0025739442246655625,0.0025739442246655625,0.01
116,0.002499870971466104,0.002499870971466104,0.01
117,0.002504997157181303,0.002504997157181303,0.01
118,0.002524309155220787,0.002524309155220787,0.01
119,0.0025129124677429598,0.0025129124677429598,0.005
120,0.0024284538812935352,0.0024284538812935352,0.005
121,0.0024660059561332067,0.0024660059561332067,0.005
122,0.002438209531828761,0.002438209531828761,0.005
123,0.0024660071823745964,0.0024660071823745964,0.005
124,0.0024595743821312984,0.0024595743821312984,0.005
125,0.0024528235973169405,0.0024528235973169405,0.005
126,0.002463470143266022,0.002463470143266022,0.005
127,0.002471180058394869,0.002471180058394869,0.005
128,0.0024644771280388036,0.0024644771280388036,0.005
129,0.0024423777513826886,0.0024423777513826886,0.005
130,0.0024223446225126585,0.0024223446225126585,0.005
131,0.002454395079985261,0.002454395079985261,0.005
132,0.0024205091254164775,0.0024205091254164775,0.005
133,0.0024444543135662875,0.0024444543135662875,0.005
134,0.00239937932540973,0.00239937932540973,0.005
135,0.002428892177219192,0.002428892177219192,0.005
136,0.0024689780548214912,0.0024689780548214912,0.005
137,0.002488760246584813,0.002488760246584813,0.005
138,0.002458015930218001,0.002458015930218001,0.005
139,0.002476577755684654,0.002476577755684654,0.005
140,0.002446419093757868,0.002446419093757868,0.005
141,0.002376281066487233,0.002376281066487233,0.005
142,0.0024375690069670477,0.0024375690069670477,0.005
143,0.0024177773545185723,0.0024177773545185723,0.005
144,0.0024284176683674256,0.0024284176683674256,0.005
145,0.0024479519420613845,0.0024479519420613845,0.005
146,0.0025539299473166465,0.0025539299473166465,0.005
147,0.002502028519908587,0.002502028519908587,0.005
148,0.002417111536487937,0.002417111536487937,0.005
149,0.0025072990451008082,0.0025072990451008082,0.005
150,0.0025903198091934126,0.0025903198091934126,0.005
151,0.002506667251388232,0.002506667251388232,0.005
152,0.0024864814709872007,0.0024864814709872007,0.005
153,0.0024453476847459874,0.0024453476847459874,0.005
154,0.002420633651005725,0.002420633651005725,0.005
155,0.002399475205068787,0.002399475205068787,0.005
156,0.0024317151866853235,0.0024317151866853235,0.005
157,0.0023986408564572533,0.0023986408564572533,0.005
158,0.002445743636538585,0.002445743636538585,0.005
159,0.002403292836000522,0.002403292836000522,0.005
160,0.0024330781307071447,0.0024330781307071447,0.005
161,0.002429214244087537,0.002429214244087537,0.005
162,0.0024196693984170755,0.0024196693984170755,0.0025
163,0.0024261287258317073,0.0024261287258317073,0.0025
164,0.002403256017714739,0.002403256017714739,0.0025
165,0.002399333892390132,0.002399333892390132,0.0025
166,0.0024165245083471137,0.0024165245083471137,0.0025
167,0.002403198058406512,0.002403198058406512,0.0025
168,0.0024312474920103948,0.0024312474920103948,0.0025
169,0.0024353323814769587,0.0024353323814769587,0.0025
170,0.0024071842276801665,0.0024071842276801665,0.0025
171,0.0023982220406954485,0.0023982220406954485,0.0025
172,0.0024356887986262637,0.0024356887986262637,0.0025
173,0.0024135719363888104,0.0024135719363888104,0.0025
174,0.002406232850626111,0.002406232850626111,0.0025
175,0.0024013136668751636,0.0024013136668751636,0.0025
176,0.002432697134402891,0.002432697134402891,0.0025
177,0.0023990750312805178,0.0023990750312805178,0.0025
178,0.002399835285420219,0.002399835285420219,0.0025
179,0.002418358096232017,0.002418358096232017,0.0025
180,0.002408321558808287,0.002408321558808287,0.0025
181,0.00239629577845335,0.00239629577845335,0.0025
182,0.0023945179923127095,0.0023945179923127095,0.0025
183,0.0024149559127787748,0.0024149559127787748,0.00125
184,0.0024087375806023676,0.0024087375806023676,0.00125
185,0.0023819617616633575,0.0023819617616633575,0.00125
186,0.002373127290047705,0.002373127290047705,0.00125
187,0.0023798403640588124,0.0023798403640588124,0.00125
188,0.002375732393314441,0.002375732393314441,0.00125
189,0.0023940545972436665,0.0023940545972436665,0.00125
190,0.0023889076973622045,0.0023889076973622045,0.00125
191,0.0024020321511973937,0.0024020321511973937,0.00125
192,0.002386950359990199,0.002386950359990199,0.00125
193,0.0024035940412431957,0.0024035940412431957,0.00125
194,0.00239957250499477,0.00239957250499477,0.00125
195,0.002376280988877018,0.002376280988877018,0.00125
196,0.0023986274764562646,0.0023986274764562646,0.00125
197,0.0024173126090317964,0.0024173126090317964,0.00125
198,0.002384184968347351,0.002384184968347351,0.00125
199,0.0024261425404498976,0.0024261425404498976,0.00125
200,0.0023880349937826393,0.0023880349937826393,0.00125
