epoch,train_loss,mse_loss,lr,w_mse,w_pde1,w_pde2,w_sym,loss_mse,loss_pde1,loss_pde2,loss_sym
31,0.003297190793819027,0.003290851507335901,0.01,1.0,0.05,0.05,0.05,0.003290851507335901,9.115101311181206e-05,8.50575491009901e-05,0.00012678572723719603
32,0.0033733088516479863,0.0033680764647821587,0.01,1.0,0.05,0.05,0.05,0.0033680764647821587,9.564452581495667e-05,8.46694868717653e-05,0.00010464773658895865
33,0.003452051463606646,0.003446740098297596,0.01,1.0,0.05,0.05,0.05,0.003446740098297596,9.077619082139184e-05,8.303615128776679e-05,0.00010622730478644371
34,0.00323942345606459,0.0032336089604844648,0.01,1.0,0.05,0.05,0.05,0.0032336089604844648,8.505158451346992e-05,8.473859488731251e-05,0.00011628990954098602
35,0.0032675826593428305,0.0032612969167530536,0.01,1.0,0.05,0.05,0.05,0.0032612969167530536,8.84427022053084e-05,8.570275240344926e-05,0.00012571484985528513
36,0.0032603000333741266,0.003254419875641664,0.01,1.0,0.05,0.05,0.05,0.003254419875641664,8.419673783161367e-05,8.612396341050044e-05,0.0001176031519814084
37,0.0032050959521863357,0.003199231531471014,0.01,1.0,0.05,0.05,0.05,0.003199231531471014,8.640244583754489e-05,8.539912814740092e-05,0.00011728841297250861
38,0.0032230087797567347,0.0032164265712102255,0.01,1.0,0.05,0.05,0.05,0.0032164265712102255,8.259456129356598e-05,8.599179370018343e-05,0.0001316441683835971
39,0.00328933476724463,0.003283767293517788,0.01,1.0,0.05,0.05,0.05,0.003283767293517788,8.566012111259625e-05,8.561856035764019e-05,0.00011134947417303919
40,0.003196247602772928,0.0031896174419671296,0.01,1.0,0.05,0.05,0.05,0.0031896174419671296,8.33376579976175e-05,8.702145181208229e-05,0.0001326032147820418
41,0.0031488787878212556,0.003142597774664561,0.01,1.0,0.05,0.05,0.05,0.003142597774664561,7.744102282837654e-05,8.568420162191615e-05,0.00012562026046604539
42,0.003147182223619893,0.003140567522495985,0.01,1.0,0.05,0.05,0.05,0.003140567522495985,7.900528847433937e-05,8.542483071020494e-05,0.00013229402053790789
43,0.003115621513491836,0.0031098652631044387,0.01,1.0,0.05,0.05,0.05,0.0031098652631044387,7.878641287485758e-05,8.548224238135542e-05,0.0001151250044737632
44,0.0031147670189966446,0.003108763399844368,0.01,1.0,0.05,0.05,0.05,0.003108763399844368,7.551521290830958e-05,8.498474368631529e-05,0.0001200723815903378
45,0.003057373763203941,0.0030501472453276315,0.01,1.0,0.05,0.05,0.05,0.0030501472453276315,7.338750025761934e-05,8.65318504414366e-05,0.0001445303544945394
46,0.003043424920330532,0.0030364615997920436,0.01,1.0,0.05,0.05,0.05,0.0030364615997920436,7.377865331363865e-05,8.433267600291098e-05,0.00013926640822319313
47,0.0030243945797640967,0.0030189036391675473,0.01,1.0,0.05,0.05,0.05,0.0030189036391675473,7.011117583412366e-05,8.236452122218907e-05,0.00010981881108212595
48,0.003001655662319536,0.0029956645487497252,0.01,1.0,0.05,0.05,0.05,0.0029956645487497252,6.863198165471354e-05,8.356708955640595e-05,0.00011982226957722257
49,0.0029473968530813483,0.0029413297461966673,0.01,1.0,0.05,0.05,0.05,0.0029413297461966673,6.542288344159412e-05,8.267228477052413e-05,0.0001213421356321002
50,0.0030103150784574003,0.0030040458620836335,0.01,1.0,0.05,0.05,0.05,0.0030040458620836335,6.531980931564854e-05,8.517433792197456e-05,0.00012538432541380946
51,0.002963929632490666,0.0029568017615626257,0.01,1.0,0.05,0.05,0.05,0.0029568017615626257,6.515749179622313e-05,8.351202219879876e-05,0.00014255741795447344
52,0.002939258699370839,0.002932604340215524,0.01,1.0,0.05,0.05,0.05,0.002932604340215524,6.428565732979526e-05,8.583942083835912e-05,0.00013308718140857915
53,0.0029733077853052237,0.0029676835052669047,0.01,1.0,0.05,0.05,0.05,0.0029676835052669047,6.456759098606805e-05,8.612703046916674e-05,0.00011248559894738719
54,0.0029534103863625206,0.0029472505828986566,0.01,1.0,0.05,0.05,0.05,0.0029472505828986566,5.820548200669388e-05,8.339174140322332e-05,0.00012319606612436472
55,0.003017093808178591,0.0030118556537975867,0.01,1.0,0.05,0.05,0.05,0.0030118556537975867,6.184956558475581e-05,8.249804086517543e-05,0.00010476308671059087
56,0.002923028540468901,0.0029171752898643414,0.01,1.0,0.05,0.05,0.05,0.0029171752898643414,6.113831744490502e-05,8.309126569656655e-05,0.00011706500954460353
57,0.0028905102666309784,0.0028845498183121283,0.01,1.0,0.05,0.05,0.05,0.0028845498183121283,5.659335050343846e-05,8.244825730798765e-05,0.00011920896504307166
58,0.0028338662678834225,0.0028280113823711873,0.01,1.0,0.05,0.05,0.05,0.0028280113823711873,5.533373720633487e-05,8.284644087931762e-05,0.00011709770769812167
59,0.002850989363651024,0.002844666689634323,0.01,1.0,0.05,0.05,0.05,0.002844666689634323,5.523277177417185e-05,8.30848087692478e-05,0.00012645347790870196
60,0.002839322538754156,0.002833024800444643,0.01,1.0,0.05,0.05,0.05,0.002833024800444643,5.478545390360523e-05,8.40512637902672e-05,0.0001259547634011445
61,0.002829484990312873,0.0028234083826343217,0.01,1.0,0.05,0.05,0.05,0.0028234083826343217,5.065338870432849e-05,8.171193476300687e-05,0.00012153215211583302
62,0.00283758299483452,0.002832019329071045,0.01,1.0,0.05,0.05,0.05,0.002832019329071045,5.2645499575495096e-05,8.192805592746785e-05,0.00011127331526950002
63,0.0027388974039240566,0.002731713047251105,0.01,1.0,0.05,0.05,0.05,0.002731713047251105,4.9194285141614574e-05,8.34005312450851e-05,0.00014368713164003566
64,0.002788713941754395,0.0027821242809295656,0.01,1.0,0.05,0.05,0.05,0.0027821242809295656,4.972185173149531e-05,8.188950038553836e-05,0.00013179321395000442
65,0.002822551230898777,0.002816797373816371,0.01,1.0,0.05,0.05,0.05,0.002816797373816371,5.170376462046988e-05,8.194966406639044e-05,0.0001150771383739387
66,0.002806673043384459,0.002800497009108464,0.01,1.0,0.05,0.05,0.05,0.002800497009108464,4.569750126393046e-05,8.266614725774465e-05,0.00012352068394344922
67,0.0027758907161417787,0.002769749208043019,0.01,1.0,0.05,0.05,0.05,0.002769749208043019,4.7985219498514195e-05,7.972111440418909e-05,0.00012283015967113898
68,0.0027344532806334123,0.002728490127871434,0.01,1.0,0.05,0.05,0.05,0.002728490127871434,4.568863053767321e-05,8.034061514384424e-05,0.00011926305305678397
69,0.0027901995801888307,0.002784549320737521,0.01,1.0,0.05,0.05,0.05,0.002784549320737521,4.586240587135156e-05,8.11637442287368e-05,0.00011300518623708437
70,0.0027921247812931443,0.0027862964508434136,0.01,1.0,0.05,0.05,0.05,0.0027862964508434136,4.673431661406842e-05,8.081334623663375e-05,0.00011656660790322348
71,0.0027099019291502674,0.002703689085319638,0.01,1.0,0.05,0.05,0.05,0.002703689085319638,4.438590294739697e-05,8.185950961584847e-05,0.0001242568750361291
72,0.0027332713680758994,0.0027269177914907533,0.01,1.0,0.05,0.05,0.05,0.0027269177914907533,4.3814668242703195e-05,8.015949133550748e-05,0.00012707153024772803
73,0.0026939674096562766,0.002686922981714209,0.01,1.0,0.05,0.05,0.05,0.002686922981714209,4.3633988389046864e-05,7.981262072765579e-05,0.0001408885553246364
74,0.002669385303306626,0.0026631003866593042,0.01,1.0,0.05,0.05,0.05,0.0026631003866593042,4.3543860738282095e-05,7.772285995694498e-05,0.00012569833100618173
75,0.002691838739368298,0.002685173849264781,0.01,1.0,0.05,0.05,0.05,0.002685173849264781,4.178641708373713e-05,8.087419749548038e-05,0.00013329780000882844
76,0.002718765585783937,0.0027122705709189177,0.01,1.0,0.05,0.05,0.05,0.0027122705709189177,4.108507419005036e-05,7.902384750195779e-05,0.00012990029596646007
77,0.0027648235388369356,0.0027590044153233367,0.01,1.0,0.05,0.05,0.05,0.0027590044153233367,4.215569485192342e-05,7.898251545460274e-05,0.00011638246845298757
78,0.002737713727856317,0.002731475094333291,0.01,1.0,0.05,0.05,0.05,0.002731475094333291,4.063231632850754e-05,7.819913225830533e-05,0.0001247726691265901
79,0.0026729939217451223,0.0026662342716008425,0.01,1.0,0.05,0.05,0.05,0.0026662342716008425,4.086689247439305e-05,7.753189978150961e-05,0.000135193001672936
80,0.0026662334310761557,0.0026599280380954346,0.01,1.0,0.05,0.05,0.05,0.0026599280380954346,3.9390023569770465e-05,7.839529134798796e-05,0.00012610785731036837
81,0.002630119673661587,0.002623552596196532,0.01,1.0,0.05,0.05,0.05,0.002623552596196532,4.043397517913642e-05,7.910967518303854e-05,0.00013134154626944414
82,0.002653953915008363,0.0026469872488329806,0.01,1.0,0.05,0.05,0.05,0.0026469872488329806,3.7784925977272604e-05,7.888897137794022e-05,0.0001393333193846047
83,0.002626724945366732,0.0026201183597246804,0.01,1.0,0.05,0.05,0.05,0.0026201183597246804,3.84381556311079e-05,7.725292428707083e-05,0.00013213171138583372
84,0.002646762414709277,0.002640172761554519,0.01,1.0,0.05,0.05,0.05,0.002640172761554519,3.7997721422774095e-05,7.766768685542047e-05,0.00013179306066983068
85,0.002670595697842752,0.0026632020715624096,0.01,1.0,0.05,0.05,0.05,0.0026632020715624096,3.8748943188693376e-05,7.87147924711462e-05,0.00014787252196886888
