epoch,train_loss,mse_loss,lr
1,0.24725500841935474,0.24725500841935474,0.01
2,0.06557001695036888,0.06557001695036888,0.01
3,0.027918442711234094,0.027918442711234094,0.01
4,0.023016428078214326,0.023016428078214326,0.01
5,0.020888434474666914,0.020888434474666914,0.01
6,0.018879421676198643,0.018879421676198643,0.01
7,0.018237670759359996,0.018237670759359996,0.01
8,0.017542483905951183,0.017542483905951183,0.01
9,0.01656583963582913,0.01656583963582913,0.01
10,0.015636866353452204,0.015636866353452204,0.01
11,0.014855537625650565,0.014855537625650565,0.01
12,0.014108454746504625,0.014108454746504625,0.01
13,0.013375474823017914,0.013375474823017914,0.01
14,0.012598612842460473,0.012598612842460473,0.01
15,0.011921470301846664,0.011921470301846664,0.01
16,0.011334429122507572,0.011334429122507572,0.01
17,0.010637903648118178,0.010637903648118178,0.01
18,0.009803616938491662,0.009803616938491662,0.01
19,0.009322449006140232,0.009322449006140232,0.01
20,0.008768194417158762,0.008768194417158762,0.01
21,0.008322542657454808,0.008322542657454808,0.01
22,0.008118788028756778,0.008118788028756778,0.01
23,0.007640780539562305,0.007640780539562305,0.01
24,0.007341571835180124,0.007341571835180124,0.01
25,0.00722721116617322,0.00722721116617322,0.01
26,0.006901275676985581,0.006901275676985581,0.01
27,0.00667741484940052,0.00667741484940052,0.01
28,0.006543947290629149,0.006543947290629149,0.01
29,0.006386253765473763,0.006386253765473763,0.01
30,0.006315844226628542,0.006315844226628542,0.01
31,0.006079433454821507,0.006079433454821507,0.01
32,0.006045583263039589,0.006045583263039589,0.01
33,0.005889547647287449,0.005889547647287449,0.01
34,0.005787860881537199,0.005787860881537199,0.01
35,0.005757542296002309,0.005757542296002309,0.01
36,0.005522341125955185,0.005522341125955185,0.01
37,0.005430423437307278,0.005430423437307278,0.01
38,0.005412576114758849,0.005412576114758849,0.01
39,0.005312462275226911,0.005312462275226911,0.01
40,0.005027407097319762,0.005027407097319762,0.01
41,0.004882181404779354,0.004882181404779354,0.01
42,0.00476923439030846,0.00476923439030846,0.01
43,0.004644913195321957,0.004644913195321957,0.01
44,0.004439613642171025,0.004439613642171025,0.01
45,0.004296662441144387,0.004296662441144387,0.01
46,0.00420485131132106,0.00420485131132106,0.01
47,0.00412401482462883,0.00412401482462883,0.01
48,0.004052034361908833,0.004052034361908833,0.01
49,0.003961136223127445,0.003961136223127445,0.01
50,0.003919945160547892,0.003919945160547892,0.01
51,0.0038561704102903606,0.0038561704102903606,0.01
52,0.0037904839341839154,0.0037904839341839154,0.01
53,0.0037953691401829324,0.0037953691401829324,0.01
54,0.0037684322645266852,0.0037684322645266852,0.01
55,0.003735962944726149,0.003735962944726149,0.01
56,0.003769954325010379,0.003769954325010379,0.01
57,0.0036991174798458814,0.0036991174798458814,0.01
58,0.003724803418541948,0.003724803418541948,0.01
59,0.0036607619530210894,0.0036607619530210894,0.01
60,0.003706360158200065,0.003706360158200065,0.01
61,0.0036510266674061615,0.0036510266674061615,0.01
62,0.0037226785129557054,0.0037226785129557054,0.01
63,0.003695844936495026,0.003695844936495026,0.01
64,0.0036785524028042954,0.0036785524028042954,0.01
65,0.003636147268116474,0.003636147268116474,0.01
66,0.0036297842394560575,0.0036297842394560575,0.01
67,0.003606380010023713,0.003606380010023713,0.01
68,0.0035534235338370006,0.0035534235338370006,0.01
69,0.003573050318906705,0.003573050318906705,0.01
70,0.003505876784523328,0.003505876784523328,0.01
71,0.003526084109519919,0.003526084109519919,0.01
72,0.0034848678080985946,0.0034848678080985946,0.01
73,0.003526935043434302,0.003526935043434302,0.01
74,0.003530645603314042,0.003530645603314042,0.01
75,0.0034834995089719693,0.0034834995089719693,0.01
76,0.0034572256573786337,0.0034572256573786337,0.01
77,0.0034690190572291613,0.0034690190572291613,0.01
78,0.0034588297673811513,0.0034588297673811513,0.01
79,0.0033964901541670162,0.0033964901541670162,0.01
80,0.0034364066862811646,0.0034364066862811646,0.01
81,0.003358031529933214,0.003358031529933214,0.01
82,0.003349568275734782,0.003349568275734782,0.01
83,0.003326985472813249,0.003326985472813249,0.01
84,0.003423022897914052,0.003423022897914052,0.01
85,0.0033760712637255588,0.0033760712637255588,0.01
86,0.0033936530506859224,0.0033936530506859224,0.01
87,0.0032619615085422993,0.0032619615085422993,0.01
88,0.0032902941418190795,0.0032902941418190795,0.01
