t,Ud,Uq,Psi_d,Psi_q,Id,Iq
0.1,129.6,0.0,0.0,0.0,0.0,0.0
0.10010000000000001,129.6,0.0,0.012919457064761594,0.0,-0.004448912403821914,0.0
0.10020000000000001,129.6,0.0,0.025842722202079407,0.0,-0.0074076526010653015,0.0
0.1003,129.6,0.0,0.03876469662856137,0.0,-0.0019381573330613808,0.0
0.1004,129.6,0.0,0.05167283264029346,0.0,0.019511521732721523,0.0
0.1005,129.6,0.0,0.0645612487752696,0.0,0.03642193013567208,0.0
0.10060000000000001,129.6,0.0,0.07743491408918027,0.0,0.04820555432278079,0.0
0.10070000000000001,129.6,0.0,0.09029362310650688,0.0,0.06551566394920418,0.0
0.1008,129.6,0.0,0.10313534967853824,0.0,0.0812406536299524,0.0
0.1009,129.6,0.0,0.11595676731789825,0.0,0.10502161235404932,0.0
0.101,129.6,0.0,0.12875531135530655,0.0,0.12573552458944376,0.0
0.10110000000000001,129.6,0.0,0.14154125047817903,0.0,0.12954132057094694,0.0
0.1012,129.6,0.0,0.1543230545615289,0.0,0.1337792096356151,0.0
0.1013,129.6,0.0,0.16710075772039906,0.0,0.1375186433347327,0.0
0.1014,129.6,0.0,0.17987043646968115,0.0,0.14938869125118462,0.0
0.1015,129.6,0.0,0.19262311642899863,0.0,0.1705855371077391,0.0
0.10160000000000001,129.6,0.0,0.20535848957977237,0.0,0.18305475812161787,0.0
0.1017,129.6,0.0,0.21808157082502524,0.0,0.19449636458263028,0.0
0.1018,129.6,0.0,0.23079326555531426,0.0,0.20520437474363218,0.0
0.1019,129.6,0.0,0.24349369082401323,0.0,0.2164182831457865,0.0
0.10200000000000001,129.6,0.0,0.25617800198787744,0.0,0.2365503348929843,0.0
0.10210000000000001,129.6,0.0,0.26884089307093445,0.0,0.25808569230460315,0.0
0.1022,129.6,0.0,0.2814836868593374,0.0,0.2756445944746179,0.0
0.1023,129.6,0.0,0.2941143830394514,0.0,0.28161856311658345,0.0
0.1024,129.6,0.0,0.30673435062495397,0.0,0.29651439162428833,0.0
0.10250000000000001,129.6,0.0,0.3193310775636918,0.0,0.3268274279466749,0.0
0.10260000000000001,129.6,0.0,0.3319051793447668,0.0,0.3405259763658503,0.0
0.1027,129.6,0.0,0.34446882777817717,0.0,0.347161801012065,0.0
0.1028,129.6,0.0,0.3570247197632221,0.0,0.3556142064509233,0.0
0.1029,129.6,0.0,0.36957222836383025,0.0,0.36346957840125865,0.0
0.10300000000000001,129.6,0.0,0.3821072461907447,0.0,0.3799118822108893,0.0
0.10310000000000001,129.6,0.0,0.3946279519439656,0.0,0.3913101377282093,0.0
0.1032,129.6,0.0,0.40713908727077375,0.0,0.39852875283591993,0.0
0.1033,129.6,0.0,0.41963687004087746,0.0,0.41728419676776024,0.0
0.1034,129.6,0.0,0.4321156634176468,0.0,0.43546786753226147,0.0
0.10350000000000001,129.6,0.0,0.44457777177160895,0.0,0.4497407350221024,0.0
0.10360000000000001,129.6,0.0,0.45702377316377146,0.0,0.46679993269363723,0.0
0.1037,129.6,0.0,0.46945055674582353,0.0,0.48712417741968106,0.0
0.1038,129.6,0.0,0.4818538039592264,0.0,0.512584050477664,0.0
0.1039,129.6,0.0,0.49423986745327864,0.0,0.5205508050546077,0.0
0.10400000000000001,129.6,0.0,0.5066181852419552,0.0,0.5276513827635385,0.0
0.1041,129.6,0.0,0.5189787210760112,0.0,0.5551411497637713,0.0
0.1042,129.6,0.0,0.5313146430998142,0.0,0.5755313936746096,0.0
0.1043,129.6,0.0,0.5436310540492666,0.0,0.593095064383326,0.0
0.1044,129.6,0.0,0.5559348821880478,0.0,0.6000081043519647,0.0
0.10450000000000001,129.6,0.0,0.568234095689325,0.0,0.6020716873346731,0.0
0.1046,129.6,0.0,0.5805210317111196,0.0,0.6238908695782652,0.0
0.1047,129.6,0.0,0.592789575877009,0.0,0.6378484424312187,0.0
0.1048,129.6,0.0,0.6050500989857784,0.0,0.6394938298058137,0.0
0.10490000000000001,129.6,0.0,0.6173035850695927,0.0,0.6515372142294241,0.0
0.10500000000000001,129.6,0.0,0.6295358961106327,0.0,0.6806845787657456,0.0
0.1051,129.6,0.0,0.6417384100656516,0.0,0.7094999915949274,0.0
0.1052,129.6,0.0,0.6539222584588331,0.0,0.7169937602883591,0.0
0.1053,129.6,0.0,0.6660974560015215,0.0,0.7263280572925426,0.0
0.10540000000000001,129.6,0.0,0.6782562554466206,0.0,0.7488921573031493,0.0
0.10550000000000001,129.6,0.0,0.6903971594022725,0.0,0.7611392556071406,0.0
0.1056,129.6,0.0,0.7025222016240437,0.0,0.7797471928900517,0.0
0.1057,129.6,0.0,0.7146216337927026,0.0,0.8109572077991916,0.0
0.1058,129.6,0.0,0.7266974958161767,0.0,0.8255970144752459,0.0
0.10590000000000001,129.6,0.0,0.7387595575333488,0.0,0.8378022516801548,0.0
0.10600000000000001,129.6,0.0,0.7508084599520138,0.0,0.8511951380337109,0.0
0.1061,129.6,0.0,0.7628469812989396,0.0,0.8579960300118419,0.0
0.1062,129.6,0.0,0.7748737155569033,0.0,0.8741239711690609,0.0
0.1063,129.6,0.0,0.7868834284369899,0.0,0.8911068629184447,0.0
0.10640000000000001,129.6,0.0,0.7988785243107294,0.0,0.9025577006971324,0.0
0.10650000000000001,129.6,0.0,0.810862299030476,0.0,0.9131293361208156,0.0
0.1066,129.6,0.0,0.8228293151951089,0.0,0.9351572776604118,0.0
0.1067,129.6,0.0,0.8347683261292149,0.0,0.9676065068401373,0.0
0.1068,129.6,0.0,0.8466838744135365,0.0,0.9807979938329416,0.0
0.10690000000000001,129.6,0.0,0.8585879363098634,0.0,0.9899504014614275,0.0
0.10700000000000001,129.6,0.0,0.8704772659999328,0.0,1.009455815970307,0.0
0.1071,129.6,0.0,0.8823504587120956,0.0,1.0213408554505827,0.0
0.1072,129.6,0.0,0.8942046619323548,0.0,1.046395122408181,0.0
0.1073,129.6,0.0,0.906029115496637,0.0,1.079211369529858,0.0
