time,values1_1,values1_2,values1_3,values1_4,values1_5,values1_6,values1_7,values1_8
0.0035,0,-100,-7.01392422103998e-06,-0.320670624945453,0.00195778541694386,-1.92766724030107,-0.00946707002822861,-7.04001601049421e-09
0.0036,0,-100,-9.02681259978477e-06,-0.32868870243622,0.00177715539937627,-2.00011832544818,-0.00893875244875634,-2.56497084479019e-08
0.0037,0,-100,-1.0853987028437e-05,-0.336632289665665,0.00159671214351395,-2.07307832326676,-0.00834410130695499,-4.78343264921759e-08
0.0038,0,-100,-1.24956395252142e-05,-0.344500863397486,0.00141645680179642,-2.14651093261496,-0.0076821163702907,-7.33561844539242e-08
0.0039,0,-100,-1.39519632932096e-05,-0.352293937718239,0.00123639056015126,-2.22038020500024,-0.0069518780185859,-1.01950683391664e-07
0.004,0,-100,-1.52231527548223e-05,-0.360011063674761,0.00105651463294134,-2.29465057314022,-0.00615254625057535,-1.33325944115603e-07
0.0041,0,-100,-1.63094035809937e-05,-0.367651828882235,0.000876830257998972,-2.36928687824878,-0.00528335959534507,-1.67162472179686e-07
0.0042,0,-100,-1.72109127153364e-05,-0.375215857104192,0.000697338691568717,-2.44425439603424,-0.004343633932586,-2.03112854381181e-07
0.0043,0,-100,-1.79278783930658e-05,-0.38270280780579,0.00051804120333525,-2.51951886139934,-0.0033327612276288,-2.40801486277401e-07
0.0044,0,-100,-1.84605001548175e-05,-0.390112375681693,0.000338939071554735,-2.59504649183671,-0.00225020818648876,-2.79824330215817e-07
0.0045,0,-100,-1.88089788554608e-05,-0.397444290159903,0.000160033578296818,-2.67080400951657,-0.00109551483611389,-3.19748703342789e-07
0.0046,0,-100,-1.89735166680192e-05,-0.404698314882871,-1.86741710491218e-05,-2.74675866206665,0.000131706744957372,-3.60113095027125e-07
0.0047,0,-100,-1.89543169020172e-05,-0.411874247167258,-0.000197202685053058,-2.82287824205379,0.00143174919658504,-4.00427013748117e-07
0.0048,0,-100,-1.87515638374754e-05,-0.41897191744365,-0.000375566512354674,-2.89913110517356,0.00280483974930447,-4.40170867444069e-07
0.0049,0,-100,-1.83654267962952e-05,-0.425991188677588,-0.000553767785825093,-2.97548618712308,0.00425115357239157,-4.78795871370042e-07
0.005,0,-100,-1.7796072907476e-05,-0.432931955773236,-0.000731808678135464,-3.05191301920666,0.00577080023749037,-5.15723979218212e-07
0.0051,0,-100,-1.70436670661949e-05,-0.439794144961012,-0.000909691399320275,-3.1283817426809,0.0073638254905465,-5.50347840225346e-07
0.0052,0,-100,-1.6108371895392e-05,-0.446577713170469,-0.00108741819441807,-3.20486312185232,0.00903021306354263,-5.82030781874237e-07
0.0053,0,-100,-1.4990347709781e-05,-0.453282647389708,-0.00126499134119131,-3.28132855594637,0.0107698865211539,-6.10106817467662e-07
0.0054,0,-100,-1.36897524822042e-05,-0.45990896401259,-0.00144241314792695,-3.35775008976868,0.012582711137547,-6.33880677839238e-07
0.0055,0,-100,-1.22067418122488e-05,-0.466456708174984,-0.00161968595135416,-3.43410042318142,0.0144684957989756,-6.52627866448514e-07
0.0056,0,-100,-1.05414688970044e-05,-0.472925953081274,-0.00179681211505507,-3.51035291941924,0.0164269949311101,-6.65594737030275e-07
0.0057,0,-100,-8.69408450345424e-06,-0.479316799322318,-0.00197379402794366,-3.5864816122713,0.0184579104433167,-6.71998592849077e-07
0.0058,0,-100,-6.6647369424301e-06,-0.485629374186017,-0.00215063410250831,-3.66246121215701,0.0205608936826799,-6.71027806818285e-07
0.0059,0,-100,-4.45357204437461e-06,-0.491863830961641,-0.00232733477311898,-3.73826711112471,0.0227355473961101,-6.61841961835915e-07
0.006,0,-100,-2.06073313684373e-06,-0.498020348239019,-0.00250389849441794,-3.81387538680355,0.0249814276967234,-6.43572010559977e-07
