epoch,train_loss,mse_loss,lr
54,0.0012393815986191234,0.0012393815986191234,0.01
55,0.001218949902492265,0.001218949902492265,0.01
56,0.0012073111642772953,0.0012073111642772953,0.01
57,0.0011881632031872868,0.0011881632031872868,0.01
58,0.0011802837951108813,0.0011802837951108813,0.01
59,0.0011853921071936686,0.0011853921071936686,0.01
60,0.001163993403315544,0.001163993403315544,0.01
61,0.0011639745517944297,0.0011639745517944297,0.01
62,0.0011545005642498534,0.0011545005642498534,0.01
63,0.0011075145332142711,0.0011075145332142711,0.01
64,0.0011197164344290893,0.0011197164344290893,0.01
65,0.001107961773717155,0.001107961773717155,0.01
66,0.0011271823119993012,0.0011271823119993012,0.01
67,0.0011057613029455146,0.0011057613029455146,0.01
68,0.0010822065989486874,0.0010822065989486874,0.01
69,0.0010850804198222856,0.0010850804198222856,0.01
70,0.0011010199397181472,0.0011010199397181472,0.01
71,0.0010780515032820404,0.0010780515032820404,0.01
72,0.0010734378166186312,0.0010734378166186312,0.01
73,0.001079868897795677,0.001079868897795677,0.01
74,0.0010713024918610852,0.0010713024918610852,0.01
75,0.0010544052386345963,0.0010544052386345963,0.01
76,0.001041415760604044,0.001041415760604044,0.01
77,0.0010586958611384033,0.0010586958611384033,0.01
78,0.001049589676161607,0.001049589676161607,0.01
79,0.0010291792646360894,0.0010291792646360894,0.01
80,0.0010124581322694818,0.0010124581322694818,0.01
81,0.0010274525576581559,0.0010274525576581559,0.01
82,0.0010332716978155077,0.0010332716978155077,0.01
83,0.0010131774509015183,0.0010131774509015183,0.01
84,0.0010285998888624212,0.0010285998888624212,0.01
85,0.001023840787820518,0.001023840787820518,0.01
86,0.0010035759187303483,0.0010035759187303483,0.01
87,0.0010085902914094428,0.0010085902914094428,0.01
88,0.001008525094948709,0.001008525094948709,0.01
89,0.0009895518111685913,0.0009895518111685913,0.01
90,0.0009828867895218232,0.0009828867895218232,0.01
91,0.0009841171403725943,0.0009841171403725943,0.01
92,0.000981448773139467,0.000981448773139467,0.01
93,0.0009693942304390172,0.0009693942304390172,0.01
