time,values1_1,values1_2,values1_3,values1_4,values1_5,values1_6,values1_7,values1_8
0.0017,110,200,0.185468323591576,0.326551715524466,0.188995464207254,1.93222449278641,0.885433292585331,6.72720131937817e-06
0.0018,110,200,0.196274008744685,0.344565107496337,0.201017079894365,2.09379333449209,1.01995892410833,8.65780638003746e-06
0.0019,110,200,0.207067333927033,0.362412383181395,0.213249414982225,2.25959092210014,1.16603671806385,1.09959710026836e-05
0.002,110,200,0.217848082488404,0.38008919481333,0.225713576646517,2.42942782922086,1.32389631129369,1.38000528829248e-05
0.0021,110,200,0.228616016077334,0.397591389383728,0.23843107615684,2.6031130775972,1.49373660694606,1.71331172488019e-05
0.0022,110,200,0.23937087422564,0.414915010237624,0.251423749389297,2.78045454514613,1.67572592178606,2.10630163547561e-05
0.0023,110,200,0.250112374014685,0.43205629824952,0.264713678499475,2.96125936535386,1.87000223648683,2.56624567417261e-05
0.0024,110,200,0.260840209822156,0.449011692588766,0.278323115036298,3.14533431679702,2.0766735443445,3.10090543634876e-05
0.0025,110,200,0.271554053147914,0.465777831084459,0.292274404762322,3.33248620165716,2.29581829348998,3.71853777187114e-05
0.0026,110,200,0.28225355251712,0.482351550201177,0.306589914430037,3.52252221219492,2.52748591734891,4.42789791656119e-05
0.0027,110,200,0.29293833345866,0.498729884637917,0.321291960746922,3.7152502842499,2.77169744782565,5.23824146313565e-05
0.0028,110,200,0.303607998556594,0.514910066563591,0.336402741744396,3.91047943693437,3.02844620546029,6.15932519614914e-05
0.0029,110,200,0.314262127572177,0.53088952450326,0.351944270747648,4.10802009779048,3.29769856062741,7.20140681854326e-05
0.003,110,-200,0.324900277633761,0.546665881890066,0.365089464439646,4.09158054938089,3.39301684244753,8.37504732168856e-05
0.0031,110,-200,0.335524912522849,0.522459141525536,0.37446242020644,3.80004602894392,3.24268771920704,9.68384365975868e-05
0.0032,110,-200,0.346139910649106,0.498552141083017,0.383652432522561,3.5220044141181,3.08898724074621,0.000111223428741105
0.0033,110,-200,0.356745460105028,0.47493100789155,0.392673881522401,3.25693270033124,2.93260033871709,0.000126843967703651
0.0034,110,-200,0.367341734198239,0.451582407005001,0.401542377462089,3.0043394958168,2.77418193697912,0.00014363749477139
0.0035,110,-200,0.37792889018675,0.428493508699499,0.410274738715622,2.76376301052586,2.61436012801153,0.000161540636690137
0.0036,110,-200,0.388507068036832,0.405651958038561,0.418888975809586,2.53476920319094,2.45373912322207,0.000180489457133257
0.0037,110,-200,0.399076389197315,0.383045846343303,0.427404281029878,2.31695007311275,2.29290200120953,0.000200419698589794
0.0038,110,-200,0.409636955384567,0.360663684418948,0.435841023182325,2.10992208455322,2.13241327568393,0.00022126701577388
0.0039,110,-200,0.420188847372856,0.338494377401285,0.444220747131822,1.91332471279384,1.97282130267062,0.00024296720158414
0.004,110,-200,0.430732123785194,0.316527201097991,0.452566177782255,1.72681910197118,1.81466054478699,0.000265456406577357
0.0041,110,-200,0.441266819880084,0.294751779709891,0.460901228192678,1.55008682574765,1.65845370875675,0.000288671352863366
0.0042,110,-200,0.451792946329924,0.273158064826437,0.469251011554242,1.38282874272619,1.50471377089027,0.000312549543277278
0.0043,110,-200,0.462310487987096,0.251736315597978,0.477641856777873,1.22476393928358,1.35394590398953,0.000337029466640213
0.0044,110,-200,0.472819402634029,0.230477079994957,0.486101327464874,1.07562875318801,1.2066493180132,0.000362050799880198
0.0045,110,-200,0.483319619713757,0.209371177070971,0.494658244051809,0.935175871991222,1.06331902584567,0.000387554607750247
0.0046,110,-200,0.493811039037711,0.188409680152809,0.503342708937605,0.803173500750862,0.924447544638067,0.000413483540850621
0.0047,110,-200,0.504293529467674,0.167583900886203,0.512186134414839,0.679404594150967,0.790526542417383,0.000439782032636395
0.0048,110,-200,0.514766927569021,0.146885374071059,0.521221273239034,0.56366614855468,0.662048438981195,0.000466396496069489
0.0049,110,-200,0.525231036232526,0.126305843224574,0.530482251679526,0.455768549947182,0.539507969499367,0.000493275520555953
0.005,110,-200,0.535685623262189,0.10583724681475,0.540004604903369,0.355534974113885,0.423403718723309,0.000520370069794311
0.0051,110,-200,0.54613041992669,0.0854717051106196,0.549825314549798,0.262800835752972,0.31423963324979,0.000547633681148956
0.0052,110,-200,0.556565119472198,0.065201507598863,0.559982848357255,0.177413283546058,0.212526518893711,0.000575022667153732
0.0053,110,-200,0.566989375594447,0.0450191009195639,0.570517201707884,0.0992307385093438,0.118783529887106,0.000602496319744838
0.0054,110,-200,0.577402800868099,0.0249170772766095,0.581469940955901,0.0281224732231943,0.0335396563349829,0.000630017117818852
0.0055,110,-200,0.587804965131553,0.00488816328070236,0.592884242747229,-0.0383716601642157,-0.046782047069032,0.000657550897162479
0.0056,110,-200,0.598195393831328,-0.0150723850673703,0.6048046624143,-0.110830590175768,-0.140602912592438,0.000685064777194884
0.0057,110,-200,0.608573566604581,-0.0349584350884587,0.617276410380574,-0.190455869288969,-0.250579820927948,0.0007125212789112
0.0058,110,-200,0.618938916605569,-0.0547626187325713,0.630345037196861,-0.277152877085358,-0.377106779910187,0.00073987648471202
0.0059,110,-200,0.629290830155955,-0.0744776652332794,0.644056300212387,-0.370817461817008,-0.520536497374708,0.000767079862654011
0.006,110,-200,0.639628646532186,-0.0940964109073113,0.658456030709539,-0.4713362216554,-0.681179504929976,0.000794074125515218
0.0061,110,-200,0.649951657889478,-0.113611808664981,0.673589999946639,-0.57858680945663,-0.859303441601666,0.000820795106726993
0.0062,110,-200,0.660259109323534,-0.133016937207277,0.689503784618437,-0.692438259547321,-1.05513249953035,0.000847171653458819
0.0063,110,-200,0.670550199070578,-0.15230500988696,0.706242632252161,-0.81275133495566,-1.26884703298925,0.000873125537077524
0.0064,110,-200,0.680824078845792,-0.171469383212666,0.723851327062196,-0.939378893443553,-1.50058333107248,0.000898571381137074
0.0065,110,-200,0.691079854319665,-0.19050356497667,0.742374056788757,-1.07216627063917,-1.75043355349363,0.000923416606989693
0.0066,110,-200,0.70131658573126,-0.209401221988734,0.761854281045309,-1.21095167852429,-2.01844582803621,0.000947561397043851
0.0067,110,-200,0.711533288636828,-0.228156187400251,0.782334601695737,-1.35556661749769,-2.30462450731975,0.000970898675630017
0.0068,110,-200,0.721728934791705,-0.246762467604731,0.803856635775596,-1.50583630021457,-2.60893058169358,0.000993314107371388
0.0069,110,-200,0.731902453162858,-0.265214248702515,0.826460891462036,-1.66158008539187,-2.93128224425179,0.00101468611289436
0.007,110,-200,0.742052731068948,-0.28350590251948,0.850186647584325,-1.8226119197709,-3.27155560318392,0.00103488590165274
0.0071,110,-200,0.752178615444286,-0.301631992171329,0.875071837151309,-1.98874078644021,-3.62958553594092,0.00105377752158065
0.0072,110,-200,0.762278914222526,-0.31958727716696,0.901152935353836,-2.15977115774435,-4.00516667901136,0.00107121792523261
0.0073,110,-200,0.772352397835517,-0.337366718046156,0.928464852479109,-2.33550345103573,-4.39805454647214,0.00108705705201473
0.0074,110,-200,0.782397800822252,-0.354965480548715,0.95704083215042,-2.51573448556783,-4.8079667699054,0.00110113792605986
0.0075,110,-200,0.79241382354244,-0.372378939313817,0.986912355279808,-2.70025793887765,-5.23458445176216,0.00111329676925061
0.0076,110,-200,0.802399133988831,-0.389602681110165,1.0181090500931,-2.88886480106186,-5.67755362380587,0.001123363128849
0.0077,110,-200,0.812352369692043,-0.406632507599067,1.05065860855678,-3.08134382541529,-6.13648680188754,0.00113116001914961
0.0078,110,-200,0.822272139711327,-0.423464437634189,1.08458670950429,-3.27748197397071,-6.61096462798985,0.00113650407653422
0.0079,110,-200,0.832157026704351,-0.44009470910324,1.11991694872611,-3.47706485655359,-7.10053759023049,0.00113920572727134
0.008,110,-200,0.842005589068878,-0.456519780318234,1.15667077625319,-3.67987716204615,-7.60472781133606,0.00113906936737279
0.0081,110,-200,0.851816363148915,-0.472736330962352,1.19486744102792,-3.88570308063826,-8.12303089598548,0.0011358935537919
0.0082,110,-200,0.861587865497758,-0.488741262602675,1.23452394312014,-4.09432671592949,-8.65491782737504,0.00112947120622477
0.0083,110,200,0.871318595190153,-0.504531698779207,1.25759729867835,-4.10222169762617,-8.76000293417377,0.00111959401553052
0.0084,110,200,0.881025602114537,-0.480314017765383,1.25467052404473,-3.81498940163686,-8.21901052036752,0.00110622782561623
0.0085,110,200,0.890735618189258,-0.456391653360618,1.25271291623993,-3.54048933469052,-7.69237530092105,0.00108957185197068
0.0086,110,200,0.900447646969747,-0.432751514980185,1.25176925102967,-3.27820754743327,-7.18000941156818,0.00106983691829814
0.0087,110,200,0.910160645975429,-0.409381040454104,1.25188598204584,-3.02765987088068,-6.68185425989407,0.00104722813280572
0.0088,110,200,0.919873524964635,-0.386268165408584,1.25311121324307,-2.78839001406757,-6.19787995205598,0.0010219449119517
0.0089,110,200,0.92958514423783,-0.363401294603363,1.25549466963558,-2.55996781163064,-5.72808481752424,0.00099418099271222
0.009,110,200,0.939294312970923,-0.340769275070785,1.2590876658496,-2.34198760883267,-5.27249502447361,0.000964124433557085
0.0091,110,200,0.948999787580921,-0.318361370915312,1.26394307204169,-2.1340667727583,-4.83116427911475,0.000931957604289462
0.0092,110,200,0.958700270126613,-0.296167239643737,1.27011527674686,-1.93584431950395,-4.40417360283606,0.000897857164870432
0.0093,110,200,0.968394406747458,-0.274176909906849,1.27766014623424,-1.74697964816543,-3.9916311815378,0.000861994033318278
0.0094,110,200,0.978080786144259,-0.252380760542745,1.28663497996192,-1.5671513733067,-3.59367228199155,0.000824533342743497
0.0095,110,200,0.987757938105635,-0.230769500820529,1.29709846173737,-1.39605624838463,-3.21045923045567,0.000785634387553661
0.0096,110,200,0.997424332084708,-0.209334151790892,1.30911060620539,-1.23340817331715,-2.84218144913017,0.000745450558837353
0.0097,110,200,1.00707837583081,-0.188066028657053,1.32273270030305,-1.07893728002418,-2.48905554634601,0.000704129268913241
0.0098,110,200,1.01671841408139,-0.166956724085899,1.33802723934027,-0.93238909035022,-2.15132545666287,0.00066181186500886
0.0099,110,200,1.0263427273196,-0.145998092384901,1.35505785738638,-0.793523741300898,-1.82926262729875,0.00061863353201367
0.01,110,200,1.03594953060353,-0.125182234475603,1.37388925166735,-0.662115272999732,-1.52316624754134,0.000574723184232438
0.0101,110,200,1.04553697247309,-0.104501483599191,1.39458710070564,-0.537950975200059,-1.2333635179983,0.000530203346047779
0.0102,110,200,1.05510313394111,-0.0839483916939477,1.4172179759657,-0.420830788576467,-0.960209956736925,0.000485190021384751
0.0103,110,200,1.06464602757527,-0.0635157163882618,1.44184924680241,-0.310566757373363,-0.704089739546886,0.000439792551855635
0.0104,110,200,1.07416359667775,-0.0431964085563968,1.46854897854852,-0.20698253030975,-0.465416071737483,0.000394113463449375
0.0105,110,200,1.08365371456965,-0.0229836003874025,1.49738582361975,-0.109912906932021,-0.244631589057155,0.000348248301617527
0.0106,110,200,1.09311418398741,-0.00287059392044098,1.52842890556358,-0.0192034268736316,-0.0422087855019607,0.000302285454596932
0.0107,110,200,1.10254273659837,0.0171491499975857,1.56174763106252,0.0695894856750825,0.155537363104481,0.000256306243441852
0.0108,110,200,1.11193703270974,0.0370776018770481,1.59741016582895,0.165994502062957,0.379736893038024,0.000210390964899753
0.0109,110,200,1.12129466254442,0.0569069353672017,1.63548093432588,0.270233764742029,0.63137543612074,0.000164629152823409
0.011,110,200,1.1306131500876,0.0766290957225267,1.67601990408722,0.382168772011533,0.910228219345687,0.000119121304991319
0.0111,110,200,1.13988995766913,0.0962361705974116,1.71908226661337,0.501648899943278,1.21599953913954,7.39787982821611e-05
0.0112,110,200,1.14912249087393,0.115720402509568,1.76471813160552,0.628511782738744,1.54832410695275,2.93237702653082e-05
0.0113,110,200,1.15830810376688,0.13507420091238,1.8129722360109,0.762583729328202,1.90676870788153,-1.47110270298519e-05
0.0114,110,200,1.16744410441676,0.154290153838937,1.86388367013017,0.903680174575343,2.29083416394161,-5.79824005025273e-05
0.0115,110,200,1.17652776070184,0.17336103908215,1.91748562300032,1.05160616328447,2.69995759129338,-0.000100336915742006
0.0116,110,200,1.1855563063772,0.19227983487725,1.97380514920623,1.20615686504985,3.13351493845826,-0.00014161112225947
0.0117,110,200,1.1945269473819,0.211039730054939,2.03286295918905,1.36711811783924,3.59082379039272,-0.000181631803175272
0.0118,110,200,1.20343686836163,0.229634133635662,2.09467323501118,1.53426699806669,4.07114642122533,-0.000220216248240546
0.0119,110,200,1.21228323938088,0.248056683837756,2.15924347340454,1.70737241478487,4.57369307653908,-0.000257172548972614
0.012,110,200,1.22106322279639,0.266301256474693,2.22657435738959,1.88619572713263,5.0976254686832,-0.000292299914591648
0.0121,110,200,1.22977398026265,0.284361972717482,2.29665965986405,2.07049137445672,5.64206044112993,-0.000325389007362407
0.0122,110,200,1.23841267983653,0.30223320620923,2.36948617664606,2.26000753224338,6.20607382048994,-0.00035622229587346
0.0123,110,200,1.24697650315073,0.319909589505296,2.44503369383794,2.45448677551554,6.78870438938121,-0.000384574424716409
0.0124,110,200,1.25546265262075,0.337386019831389,2.52327498844658,2.65366675460083,7.38895797484182,-0.000410212598975455
0.0125,110,200,1.26386835865132,0.354657664146864,2.60417586321524,2.85728087891537,8.00581162166956,-0.000432896981892981
0.0126,110,200,1.2721908868069,0.371719963505005,2.68769521597593,3.06505900590269,8.6382178237153,-0.000452381104042599
0.0127,110,200,1.28042754491099,0.388568636704962,2.77378514355399,3.27672813225903,9.28510878601197,-0.000468412282317952
0.0128,110,200,1.28857569003851,0.40519968323302,2.86239107997276,3.4920130845849,9.94540069074086,-0.000480732047033174
0.0129,110,200,1.29663273536613,0.421609385493773,2.95345196841881,3.71063720662739,10.6179979404187,-0.00048907657542938
0.013,110,200,1.30459615684585,0.43779431033471,3.0469004661412,3.93232304031998,11.3017973523274,-0.000493177129890629
0.0131,110,200,1.31246349966779,0.4537513098706,3.14266318117538,4.15679299788457,11.995692279093,-0.000492760499192261
0.0132,110,-200,1.32023238447971,0.469477521616854,3.17398313332869,3.99815466726051,11.5524212776105,-0.000487590486974068
0.0133,110,-200,1.32796906782196,0.445366836657971,3.18424641611355,3.7083488164088,10.7123597760147,-0.00047779837058603
0.0134,110,-200,1.33569519901561,0.421554114297145,3.19823670702968,3.43041957206028,9.90050206021966,-0.000463717252375571
0.0135,110,-200,1.34340694615381,0.398027143654163,3.21593429801512,3.16387330114866,9.11657948138526,-0.000445672139708297
0.0136,110,-200,1.35110049759247,0.374774221375456,3.2373209990258,2.9082454816101,8.36037843465088,-0.000423976853019148
0.0137,110,-200,1.35877206038949,0.351784121703753,3.2623796617929,2.66309894462181,7.63173771944502,-0.000398934111934463
0.0138,110,-200,1.36641785923371,0.329046068354962,3.29109373182929,2.4280222580861,6.9305460332863,-0.000370835600420213
0.0139,110,-200,1.37403413583439,0.306549708057078,3.32344682726163,2.2026282392723,6.25673958651361,-0.000339962011960243
0.014,110,-200,1.38161714874373,0.284285085618299,3.35942234339299,1.98655258567076,5.61029982680147,-0.000306583075719931
0.0141,110,-200,1.38916317358599,0.262242620402829,3.39900308218789,1.77945261413621,4.99125126368448,-0.000270957564606618
0.0142,110,-200,1.3966685036675,0.240413084103027,3.44217090612111,1.58100609931589,4.39965938463507,-0.000233333286098095
0.0143,110,-200,1.40412945094261,0.218787579705816,3.48890641604389,1.39091020318218,3.83562865551077,-0.000193947056673674
0.0144,110,-200,1.41154234731082,0.197357521559692,3.53918865290281,1.20888048823323,3.2993005994153,-0.000153024660648581
