t,Ud,Uq,Psi_d,Psi_q,Id,Iq
0.1,109.62,199.8,0.0,0.0,0.0,0.0
0.10010000000000001,109.62,199.8,0.010958688932259271,0.020070135684813792,-0.00472488013360192,0.019188557719966793
0.10020000000000001,109.62,199.8,0.021930417440163788,0.040108615364423915,-0.025365232678544677,0.0615788396424532
0.1003,109.62,199.8,0.032918671145434626,0.06010677926743145,-0.036870517971776366,0.09761281645062361
0.1004,109.62,199.8,0.043909347849349536,0.08007435206956658,-0.03007857044802829,0.12108617428524762
0.1005,109.62,199.8,0.05488665647190401,0.10001609097187644,-0.010866259597243313,0.1478662064296584
0.10060000000000001,109.62,199.8,0.06584135847681256,0.1199320980929608,0.013896949328376054,0.1711409180725822
0.10070000000000001,109.62,199.8,0.07678014398613699,0.13981272617777019,0.020095301185282435,0.2166872717366699
0.1008,109.62,199.8,0.08771280078667155,0.15963462742857604,0.02581881923450641,0.2853792836069347
0.1009,109.62,199.8,0.09863425693219692,0.17938330660986318,0.04188337375679991,0.35912249210547526
0.101,109.62,199.8,0.10954333122800987,0.1990446446363673,0.04990461063529917,0.4552796525879687
0.10110000000000001,109.62,199.8,0.12043866831801237,0.2185972093144112,0.06860567141548836,0.5707138328040747
0.1012,109.62,199.8,0.13130949929499924,0.2380378457930299,0.09757512351080518,0.6730079666796763
0.1013,109.62,199.8,0.1421600665516214,0.2573747366723251,0.10802367058723045,0.7725249452060111
0.1014,109.62,199.8,0.15299880467519233,0.2765802722015441,0.12058574290462222,0.928526942825826
0.1015,109.62,199.8,0.16382360186471248,0.29558536612384295,0.13514227057660344,1.1624339527007304
0.10160000000000001,109.62,199.8,0.17463556544741982,0.3143460527391231,0.14555031474100086,1.4039602222152818
0.1017,109.62,199.8,0.1854325804471665,0.33287372948344696,0.16422099946527938,1.6156963712026604
0.1018,109.62,199.8,0.1962128887545979,0.35118195102813154,0.1780490056030139,1.8308554182561145
0.1019,109.62,199.8,0.20697455412202675,0.3692693229716206,0.2004861758667994,2.0453040266735725
0.10200000000000001,109.62,199.8,0.21771394005819764,0.3871354162097967,0.22138806610460376,2.2612977884504373
0.10210000000000001,109.62,199.8,0.22843374230943356,0.40478477714104244,0.23858133621505295,2.466902516057811
0.1022,109.62,199.8,0.2391256414422031,0.42223373428825883,0.2756666033524174,2.651133220972233
0.1023,109.62,199.8,0.24978895790196368,0.43947455655965467,0.2941817768407174,2.8717768537923183
0.1024,109.62,199.8,0.2604404323360024,0.4564778681753319,0.2987023022119548,3.1131507903961424
0.10250000000000001,109.62,199.8,0.2710763582268969,0.4732412008612937,0.3244275781915915,3.3385958328593586
0.10260000000000001,109.62,199.8,0.2816881900890472,0.48977689893714677,0.3455712082167257,3.555956983494981
0.1027,109.62,199.8,0.29228178699323204,0.5060873506997132,0.35989912759337445,3.7767561919031882
0.1028,109.62,199.8,0.3028521927115419,0.5221806732389853,0.39068385925799753,3.9783275743800637
0.1029,109.62,-199.8,0.3133918501112537,0.5181231632077646,0.41971228999470417,4.109068225477772
0.10300000000000001,109.62,-199.8,0.32390925988853186,0.4939118718688696,0.43396104364855953,4.316375638540005
0.10310000000000001,109.62,-199.8,0.3344118281215696,0.4694738868197015,0.44858280182797905,4.55004413330456
0.1032,109.62,-199.8,0.344899092934753,0.4449507230587237,0.46373001895444105,4.482069515633276
0.1033,109.62,-199.8,0.3553798631763489,0.4206007413382415,0.46121636628949514,4.213161793539338
0.1034,109.62,-199.8,0.36586854203336583,0.3965321496641905,0.44834578592587987,3.934695567635512
0.10350000000000001,109.62,-199.8,0.37636175109196407,0.3727723425100498,0.45240399230459366,3.612498749883195
