epoch,train_loss,mse_loss,lr,w_mse,w_pde1,w_pde2,w_sym,loss_mse,loss_pde1,loss_pde2,loss_sym
1,0.16391017911373637,0.16327496568361918,0.01,1.0,0.25,0.25,0.25,0.16327496568361918,0.00020370037697527247,0.0005658475158270449,0.0025408537204687793
2,0.057430188625585285,0.05649781574805578,0.01,1.0,0.25,0.25,0.25,0.05649781574805578,0.0006496328647093226,0.00036436624456352246,0.0037294915101180473
3,0.04544811468416204,0.04517061337828636,0.01,1.0,0.25,0.25,0.25,0.04517061337828636,0.00042427145526744423,0.00030614735054162643,0.0011100052235027155
4,0.0374498375885499,0.037330601612726846,0.01,1.0,0.25,0.25,0.25,0.037330601612726846,0.00029977099135673296,0.0002173028925123314,0.0004769439032922188
5,0.031947899854761395,0.03185737878084183,0.01,1.0,0.25,0.25,0.25,0.03185737878084183,0.0002779139390137667,0.00019170465626909086,0.0003620842956782629
6,0.02594929736587801,0.0258856225758791,0.01,1.0,0.25,0.25,0.25,0.0258856225758791,0.00019344599956336121,0.00012524473519685367,0.00025469915999565274
7,0.020194729618257648,0.020159132095674673,0.01,1.0,0.25,0.25,0.25,0.020159132095674673,0.00013491751451510936,8.266120421467349e-05,0.00014239009033190086
8,0.013430546886471955,0.013396210720141728,0.01,1.0,0.25,0.25,0.25,0.013396210720141728,7.402364644804038e-05,4.897001296437035e-05,0.00013734466532090058
9,0.007069784446017972,0.007027276853720347,0.01,1.0,0.25,0.25,0.25,0.007027276853720347,3.066560020670295e-05,2.639567089014842e-05,0.0001700303691904992
10,0.0034159052057172326,0.003365029829243819,0.01,1.0,0.25,0.25,0.25,0.003365029829243819,4.305165869785318e-05,1.879001865745522e-05,0.00020350150589365512
11,0.0024738289995487623,0.0024231598557283482,0.01,1.0,0.25,0.25,0.25,0.0024231598557283482,7.509251857603279e-05,1.271189576073084e-05,0.00020267657528165727
12,0.0022444400240298518,0.002199482653910915,0.01,1.0,0.25,0.25,0.25,0.002199482653910915,8.359495089583409e-05,1.0583601579128299e-05,0.0001798294804757461
