epoch,train_loss,mse_loss,lr,w_mse,w_pde1,w_pde2,w_sym,loss_mse,loss_pde1,loss_pde2,loss_sym
35,0.0027378140825021547,0.0027015584520995615,0.01,1.0,0.25,0.25,0.25,0.0027015584520995615,5.879382151761092e-05,1.2884801374942375e-05,0.00014502252161037178
36,0.0026981637898037055,0.0026626416947692633,0.01,1.0,0.25,0.25,0.25,0.0026626416947692633,5.264425344648771e-05,1.2602095739566722e-05,0.00014208838013776888
37,0.002687705088950073,0.002653113706037402,0.01,1.0,0.25,0.25,0.25,0.002653113706037402,5.224575749404418e-05,1.2799834560913344e-05,0.0001383655316506823
38,0.0026651607195769126,0.0026292997878044843,0.01,1.0,0.25,0.25,0.25,0.0026292997878044843,5.160760071400243e-05,1.2864761265518609e-05,0.00014344372708971302
39,0.002614885661265968,0.0025686444714665413,0.01,1.0,0.25,0.25,0.25,0.0025686444714665413,4.971193169088413e-05,1.3916043462813832e-05,0.00018496475919770698
40,0.0025807877190042443,0.0025437123452623687,0.01,1.0,0.25,0.25,0.25,0.0025437123452623687,4.9867636941295736e-05,1.3201423583571643e-05,0.00014830149496750285
41,0.0025863708195781026,0.0025518887986739477,0.01,1.0,0.25,0.25,0.25,0.0025518887986739477,4.591621861133414e-05,1.3013510094121253e-05,0.0001379280836166193
42,0.002498630990885431,0.002459020959213376,0.01,1.0,0.25,0.25,0.25,0.002459020959213376,4.494472026029446e-05,1.3153141723402466e-05,0.0001584401266882196
43,0.0025068921255297027,0.0024730293701092404,0.01,1.0,0.25,0.25,0.25,0.0024730293701092404,4.252496376769462e-05,1.2986828551220242e-05,0.00013545102168185016
44,0.0024672986277437304,0.0024365770009656747,0.01,1.0,0.25,0.25,0.25,0.0024365770009656747,4.00270996275746e-05,1.3193252925702836e-05,0.00012288650711222242
45,0.002418482461750197,0.002387562533840537,0.01,1.0,0.25,0.25,0.25,0.002387562533840537,3.8717823796711553e-05,1.3244044869982948e-05,0.00012367971163863937
46,0.002369138539749353,0.0023383849455664556,0.01,1.0,0.25,0.25,0.25,0.0023383849455664556,3.6402304976945744e-05,1.3085530432969487e-05,0.00012301437673158943
47,0.0023225491530562675,0.0022968369846542674,0.01,1.0,0.25,0.25,0.25,0.0022968369846542674,3.4369295341700005e-05,1.3504262278729584e-05,0.00010284867360799884
48,0.002264344342984259,0.0022388588016231856,0.01,1.0,0.25,0.25,0.25,0.0022388588016231856,3.0140368107822723e-05,1.3550660696637351e-05,0.00010194216544429461
49,0.0022483736490054675,0.0022243451327085494,0.01,1.0,0.25,0.25,0.25,0.0022243451327085494,3.03378362635461e-05,1.4047825485855962e-05,9.611406518767277e-05
50,0.0022162833987143435,0.002195035650705298,0.01,1.0,0.25,0.25,0.25,0.002195035650705298,2.6322419459271865e-05,1.3941114775661845e-05,8.499099203618243e-05
51,0.0021514296475894906,0.002131755091249943,0.01,1.0,0.25,0.25,0.25,0.002131755091249943,2.542495070277558e-05,1.4288151699778003e-05,7.869822535819063e-05
52,0.0021178993106029036,0.002099953421081106,0.01,1.0,0.25,0.25,0.25,0.002099953421081106,2.3278911612578668e-05,1.4489909760110702e-05,7.178355808719061e-05
53,0.002069301058872952,0.0020522722198317448,0.01,1.0,0.25,0.25,0.25,0.0020522722198317448,2.0792467815529865e-05,1.4533195947781982e-05,6.811535616482919e-05
54,0.0020695403649369838,0.002055040824537476,0.01,1.0,0.25,0.25,0.25,0.002055040824537476,1.8997293591382913e-05,1.4926967075249802e-05,5.79981615980311e-05
55,0.002028303527004027,0.002013531963651379,0.01,1.0,0.25,0.25,0.25,0.002013531963651379,1.766256924990254e-05,1.5376733669351474e-05,5.9086253410593294e-05
56,0.0019998840248566315,0.0019867284533878165,0.01,1.0,0.25,0.25,0.25,0.0019867284533878165,1.6491987056118283e-05,1.5208652621367947e-05,5.262228587525897e-05
57,0.0019773675293739265,0.0019637228610614936,0.01,1.0,0.25,0.25,0.25,0.0019637228610614936,1.4538064957984413e-05,1.5945947901248776e-05,5.457867324973146e-05
58,0.0019312949869345175,0.0019182151571537057,0.01,1.0,0.25,0.25,0.25,0.0019182151571537057,1.3666383407932396e-05,1.5491463636863044e-05,5.231931912324702e-05
59,0.0019451242048186639,0.0019335611956194042,0.01,1.0,0.25,0.25,0.25,0.0019335611956194042,1.2605127085407731e-05,1.591501010504241e-05,4.625203679703797e-05
60,0.0019104878167733356,0.0019001428969204425,0.01,1.0,0.25,0.25,0.25,0.0019001428969204425,1.1552408856611389e-05,1.5865373279666527e-05,4.137967941157209e-05
61,0.001897175619948636,0.0018878465673575799,0.01,1.0,0.25,0.25,0.25,0.0018878465673575799,1.1010037087544334e-05,1.6064258610034206e-05,3.731621036422439e-05
62,0.0018831911416176202,0.001874855215040346,0.01,1.0,0.25,0.25,0.25,0.001874855215040346,1.0325098598210995e-05,1.60302651541618e-05,3.3343706309096885e-05
63,0.0018876388471653627,0.001880253564255933,0.01,1.0,0.25,0.25,0.25,0.001880253564255933,1.0113776079379022e-05,1.6079380839073564e-05,2.954113163771884e-05
64,0.0018898623455849398,0.0018836193950846792,0.01,1.0,0.25,0.25,0.25,0.0018836193950846792,9.661490488118336e-06,1.6158746378399278e-05,2.4971802001042914e-05
65,0.0018481464371992236,0.0018414123837525646,0.01,1.0,0.25,0.25,0.25,0.0018414123837525646,8.880501536623341e-06,1.644220216500495e-05,2.6936213786636168e-05
66,0.001849151470620806,0.0018424485033998886,0.01,1.0,0.25,0.25,0.25,0.0018424485033998886,8.095151345817915e-06,1.6088291037400874e-05,2.6811868883669378e-05
67,0.0018424925381623325,0.0018356196970368424,0.01,1.0,0.25,0.25,0.25,0.0018356196970368424,7.956052437900022e-06,1.6142257603254014e-05,2.7491364501959955e-05
68,0.0018466202061063087,0.0018393294420093298,0.01,1.0,0.25,0.25,0.25,0.0018393294420093298,7.614812208582104e-06,1.5931871530483477e-05,2.9163056387915277e-05
69,0.001861454316591941,0.001854374073445797,0.01,1.0,0.25,0.25,0.25,0.001854374073445797,7.225026001833612e-06,1.6346726746026737e-05,2.8320972584576037e-05
70,0.0018471261923574882,0.0018411085242405535,0.01,1.0,0.25,0.25,0.25,0.0018411085242405535,6.844030485808616e-06,1.621077038483539e-05,2.407067246773901e-05
71,0.0018628141469586505,0.0018582187515373031,0.01,1.0,0.25,0.25,0.25,0.0018582187515373031,7.487457484482244e-06,1.5871264380014813e-05,1.8381581685389393e-05
72,0.0018575868254022984,0.001852697809226811,0.01,1.0,0.25,0.25,0.25,0.001852697809226811,6.9845804622066986e-06,1.5738084463616057e-05,1.9556064701949558e-05
73,0.0018396751023828984,0.0018349770844603578,0.01,1.0,0.25,0.25,0.25,0.0018349770844603578,6.621541251661256e-06,1.54251200001454e-05,1.8792071690162022e-05
74,0.0018364231122177444,0.0018303225748240947,0.01,1.0,0.25,0.25,0.25,0.0018303225748240947,6.291539042043344e-06,1.66268919808014e-05,2.4402149574598297e-05
75,0.0018173204271685487,0.001811066549271345,0.01,1.0,0.25,0.25,0.25,0.001811066549271345,5.819384584052993e-06,1.6112974299176132e-05,2.501551158881436e-05
76,0.0018431781695350462,0.0018358776345849038,0.01,1.0,0.25,0.25,0.25,0.0018358776345849038,5.599181743794664e-06,1.534830104598465e-05,2.9202139800569663e-05
77,0.001833743929000775,0.0018270077571893731,0.01,1.0,0.25,0.25,0.25,0.0018270077571893731,5.5771127942231635e-06,1.5010112777720981e-05,2.6944687245607687e-05
78,0.0017966245913460929,0.001791316457092762,0.01,1.0,0.25,0.25,0.25,0.001791316457092762,5.597743832671161e-06,1.549751887068851e-05,2.1232537013323356e-05
79,0.0018023252221307,0.0017969606987511119,0.01,1.0,0.25,0.25,0.25,0.0017969606987511119,5.359970509744017e-06,1.4955440747144166e-05,2.1458093518352445e-05
80,0.0017969301078665013,0.0017915786243975162,0.01,1.0,0.25,0.25,0.25,0.0017915786243975162,5.17868165843538e-06,1.5081869908802522e-05,2.1405933875939808e-05
81,0.0017906664866131905,0.0017846600618213414,0.01,1.0,0.25,0.25,0.25,0.0017846600618213414,5.010442979861788e-06,1.5140665588357176e-05,2.4025699167395943e-05
82,0.0017743676776262873,0.001768349491370221,0.01,1.0,0.25,0.25,0.25,0.001768349491370221,4.7857480088471975e-06,1.4915989595465362e-05,2.407274502426541e-05
83,0.0017866126396863062,0.0017806584248319269,0.01,1.0,0.25,0.25,0.25,0.0017806584248319269,4.95203495726552e-06,1.4753128198208287e-05,2.381685941751736e-05
84,0.001794662765890583,0.0017889819185559948,0.01,1.0,0.25,0.25,0.25,0.0017889819185559948,4.820320479363242e-06,1.4589878446713556e-05,2.2723389338352718e-05
85,0.0017910891826735072,0.0017858234389374653,0.01,1.0,0.25,0.25,0.25,0.0017858234389374653,4.973497546719349e-06,1.486497694713762e-05,2.106297494416746e-05
86,0.001799576566190808,0.0017950799859439333,0.01,1.0,0.25,0.25,0.25,0.0017950799859439333,5.033873867432703e-06,1.4712445287538381e-05,1.798632098749901e-05
87,0.001790696742743118,0.0017855675580600897,0.01,1.0,0.25,0.25,0.25,0.0017855675580600897,4.659162626315568e-06,1.4641216572878572e-05,2.0516738732112572e-05
88,0.0017851242196532742,0.0017788992573817572,0.01,1.0,0.25,0.25,0.25,0.0017788992573817572,4.297774845933115e-06,1.4270865297779286e-05,2.4899849086068572e-05
89,0.0017862153934098993,0.0017795929607624808,0.01,1.0,0.25,0.25,0.25,0.0017795929607624808,4.333651061945905e-06,1.4626639252431536e-05,2.6489730589673855e-05
90,0.0017603245583207657,0.0017533587602277597,0.01,1.0,0.25,0.25,0.25,0.0017533587602277597,3.954067536445412e-06,1.4189972353051416e-05,2.786319237202406e-05
91,0.0017598536932685723,0.0017525135461861888,0.01,1.0,0.25,0.25,0.25,0.0017525135461861888,3.8510593337074775e-06,1.4370374507658805e-05,2.9360588329533735e-05
92,0.0017804341990389123,0.0017747317130366962,0.01,1.0,0.25,0.25,0.25,0.0017747317130366962,4.327337107194277e-06,1.4059774305981895e-05,2.2809944008865084e-05
93,0.0017615734622874395,0.001755986890445153,0.01,1.0,0.25,0.25,0.25,0.001755986890445153,4.157695093454094e-06,1.3360892808123026e-05,2.2346287369146012e-05
94,0.0017706782313325676,0.0017643736364940802,0.01,1.0,0.25,0.25,0.25,0.0017643736364940802,4.0204009868224e-06,1.361260856356239e-05,2.5218379353949178e-05
95,0.0017499734340162831,0.001743565515304605,0.01,1.0,0.25,0.25,0.25,0.001743565515304605,3.95346147949264e-06,1.3904920342611149e-05,2.563167484671188e-05
96,0.0017323147368188073,0.001724471803754568,0.01,1.0,0.25,0.25,0.25,0.001724471803754568,3.5067736613806724e-06,1.3749196962938489e-05,3.137173225695733e-05
97,0.0017380174677176304,0.001729985986215373,0.01,1.0,0.25,0.25,0.25,0.001729985986215373,3.4622614293766675e-06,1.359779877626958e-05,3.2125926009030084e-05
98,0.0017435778222231117,0.001735005791609486,0.01,1.0,0.25,0.25,0.25,0.001735005791609486,3.406537340803576e-06,1.3314047828316689e-05,3.428812245450293e-05
99,0.0017613014555536211,0.0017532468074932695,0.01,1.0,0.25,0.25,0.25,0.0017532468074932695,3.5063669353500398e-06,1.3208283113878376e-05,3.221859224140644e-05
100,0.0017804109148528368,0.0017737626408537229,0.01,1.0,0.25,0.25,0.25,0.0017737626408537229,3.669691871740118e-06,1.3487496592764122e-05,2.659309599645591e-05
101,0.0017504569056048544,0.0017441776736328999,0.01,1.0,0.25,0.25,0.25,0.0017441776736328999,3.6482790771212118e-06,1.3124763184653905e-05,2.5116927887817533e-05
102,0.00173157501027769,0.0017253562342375516,0.01,1.0,0.25,0.25,0.25,0.0017253562342375516,3.6196870799661458e-06,1.3094865122790604e-05,2.4875104160552533e-05
103,0.001736330035055289,0.0017298167028153937,0.01,1.0,0.25,0.25,0.25,0.0017298167028153937,3.5716077036340723e-06,1.3014121335193824e-05,2.6053328959581752e-05
104,0.0017323977387604828,0.001724966149777174,0.01,1.0,0.25,0.25,0.25,0.001724966149777174,3.22736733930166e-06,1.2830029299948365e-05,2.9726355933235027e-05
105,0.0017465098320826656,0.0017394843278452754,0.01,1.0,0.25,0.25,0.25,0.0017394843278452754,3.3408490253350465e-06,1.3131773327283251e-05,2.8102016949560492e-05
106,0.0017546081798476129,0.0017474920954555274,0.01,1.0,0.25,0.25,0.25,0.0017474920954555274,3.2968017724973227e-06,1.3054987781894549e-05,2.8464337568342064e-05
107,0.0017470508340920788,0.0017396100563928484,0.01,1.0,0.25,0.25,0.25,0.0017396100563928484,3.324349002771972e-06,1.272385325137293e-05,2.9763110796920954e-05
108,0.0017286689881984784,0.0017210559531425436,0.01,1.0,0.25,0.25,0.25,0.0017210559531425436,3.174914066524555e-06,1.2871845016585819e-05,3.0452140223739357e-05
109,0.0017528488930111052,0.001744847969772915,0.01,1.0,0.25,0.25,0.25,0.001744847969772915,3.1719686679328635e-06,1.2746943199696641e-05,3.2003692952760804e-05
110,0.0017465129121774225,0.0017389333806931973,0.01,1.0,0.25,0.25,0.25,0.0017389333806931973,3.0840247821591523e-06,1.287601129054868e-05,3.0318125936901197e-05
