Model,Train Time (s),Psid MAE,Psid RMSE,Psid MAPE (%),Psiq MAE,Psiq RMSE,Psiq MAPE (%)
ANN_Net6_4_Bz128_Ep200,14.92,0.03382916822375862,0.044836862122981117,6.361210152492705,0.04032236125882257,0.05328252967394448,21.215931097535822
PINN_Net6_4_Bz128_Ep200_W0.05,48.12,0.009646913933688803,0.011693051675670337,1.8008746561149935,0.006896179539962117,0.008818067886283308,3.666993507050914
SCN_Net6_4_Bz128_Ep200,13.73,0.009983738383353761,0.011653275717546227,1.4791272913402311,0.01580626442013476,0.018385586834277604,7.1463730782945
Traditional_Polynomial,,0.0195321958697845,0.024376420576996474,3.081113837767625,0.008973918261090627,0.011009877994452397,6.009495438724445
