t,Ud,Uq,Psi_d,Psi_q,Id,Iq
0.1,0.0,99.9,0.0,0.0,0.0,0.0
0.10010000000000001,0.0,99.9,0.0,0.010023172494552637,0.0,0.0088849393250848
0.10020000000000001,0.0,99.9,0.0,0.02003500248751471,0.0,0.022063999613846478
0.1003,0.0,99.9,0.0,0.030028861375725746,0.0,0.043843228298753346
0.1004,0.0,99.9,0.0,0.04000491930333558,0.0,0.056691315704124896
0.1005,0.0,99.9,0.0,0.04997113557897378,0.0,0.06298770040378082
0.10060000000000001,0.0,99.9,0.0,0.059940559839359,0.0,0.05045098382897876
0.10070000000000001,0.0,99.9,0.0,0.06990696202612584,0.0,0.06886638868225395
0.1008,0.0,99.9,0.0,0.07984188928909024,0.0,0.11167757490133022
0.1009,0.0,99.9,0.0,0.0897460981983738,0.0,0.12862126183260425
0.101,0.0,99.9,0.0,0.09963368519693551,0.0,0.1440113443806616
0.10110000000000001,0.0,99.9,0.0,0.10950464963305327,0.0,0.16095629907426123
0.1012,0.0,99.9,0.0,0.11936097356526948,0.0,0.1724907825232145
0.1013,0.0,99.9,0.0,0.12920007304505524,0.0,0.194462162726984
0.1014,0.0,99.9,0.0,0.13901785421448867,0.0,0.21396022271906587
0.1015,0.0,99.9,0.0,0.14881558480325444,0.0,0.23346555193321883
0.10160000000000001,0.0,99.9,0.0,0.15858992661130444,0.0,0.259457245096367
0.1017,0.0,99.9,0.0,0.16833600459640014,0.0,0.2884457495352297
0.1018,0.0,99.9,0.0,0.17804598647721592,0.0,0.3296731868384689
0.1019,0.0,99.9,0.0,0.18771120313854242,0.0,0.37552528641155125
0.10200000000000001,0.0,99.9,0.0,0.197324623434215,0.0,0.4304300597965082
0.10210000000000001,0.0,99.9,0.0,0.20688129298437521,0.0,0.48591966608807485
0.1022,0.0,99.9,0.0,0.21639239060049284,0.0,0.5190788580434647
0.1023,0.0,99.9,0.0,0.22585973180513128,0.0,0.5710368193255512
0.1024,0.0,99.9,0.0,0.23525590847420158,0.0,0.6575116607860826
0.10250000000000001,0.0,99.9,0.0,0.24456561863578644,0.0,0.7392357807747993
0.10260000000000001,0.0,99.9,0.0,0.25379241046651774,0.0,0.8188085321442751
0.1027,0.0,99.9,0.0,0.26293642140117635,0.0,0.9002653071450165
0.1028,0.0,99.9,0.0,0.2720020265306371,0.0,0.9713274136093085
0.1029,0.0,99.9,0.0,0.28099520642629755,0.0,1.041150482945453
0.10300000000000001,0.0,99.9,0.0,0.2899147242117867,0.0,1.1146186229953017
0.10310000000000001,0.0,99.9,0.0,0.2987594207033295,0.0,1.1866965944058259
0.1032,0.0,99.9,0.0,0.30752526612863784,0.0,1.2680036484288535
0.1033,0.0,99.9,0.0,0.3161941985823425,0.0,1.3752165387026922
0.1034,0.0,99.9,0.0,0.32474897846746215,0.0,1.4900589163138243
0.10350000000000001,0.0,99.9,0.0,0.33319485840087804,0.0,1.587054154342814
0.10360000000000001,0.0,99.9,0.0,0.34154371467675226,0.0,1.6787941724159097
0.1037,0.0,99.9,0.0,0.34979557456719645,0.0,1.7757363593735893
0.1038,0.0,99.9,0.0,0.35795290052677453,0.0,1.8626862880546255
0.1039,0.0,99.9,0.0,0.3660259637503031,0.0,1.939648434748976
0.10400000000000001,0.0,99.9,0.0,0.3740174628798499,0.0,2.021348830329678
0.1041,0.0,99.9,0.0,0.38191733222251417,0.0,2.117891264714684
0.1042,0.0,99.9,0.0,0.38971682672231217,0.0,2.216602979210208
0.1043,0.0,99.9,0.0,0.3974211577348394,0.0,2.303008024860569
0.1044,0.0,99.9,0.0,0.40503266478772587,0.0,2.3971687735648017
0.10450000000000001,0.0,99.9,0.0,0.4125509174459486,0.0,2.4844111228828742
0.1046,0.0,99.9,0.0,0.41999156011615674,0.0,2.5481395917665637
0.1047,0.0,99.9,0.0,0.42735982007740025,0.0,2.6252135772526937
